MM,YYYY,Date,HRS,MIN,Nest_Type,Nest_Disturbance,Y,X
7,2017,7/20/2017,,,Nest,Lost,-3.07202,126.56425
7,2017,7/21/2017,,,Nest,Lost,-3.068978,126.617467
7,2017,7/24/2017,,,Nest,Lost,-3.067997,126.611763
7,2017,7/27/2017,,,Nest,Lost,-3.069754,126.584852
7,2017,7/30/2017,,,Nest,Lost,-3.071989,126.56313
8,2017,8/2/2017,,,Nest,Secure,-3.072257,126.558856
8,2017,8/3/2017,,,Nest,Secure,-3.068943,126.616919
8,2017,8/3/2017,,,False_Crawls,Non_Nesting,-3.071325,126.570543
8,2017,8/5/2017,,,Nest,Secure,-3.069455,126.620643
8,2017,8/8/2017,,,Nest,Secure,-3.069838,126.583629
8,2017,8/9/2017,3,0,Nesting_Individu,Lost,-3.072026,126.56634
8,2017,8/9/2017,1,25,False_Crawls,Non_Nesting,-3.070932,126.573279
8,2017,8/9/2017,,,False_Crawls,Non_Nesting,-3.071378,126.57055
8,2017,8/12/2017,,,Nest,Lost,-3.07104,126.572583
8,2017,8/13/2017,,,False_Crawls,Non_Nesting,-3.071324,126.571678
8,2017,8/14/2017,10,8,Nesting_Individu,Lost,-3.072488,126.554905
8,2017,8/17/2017,,,Nest,Secure,-3.06978,126.584475
8,2017,8/19/2017,,,False_Crawls,Non_Nesting,-3.071138,126.571526
8,2017,8/21/2017,,,Nest,Lost,-3.071878,126.56475
8,2017,8/22/2017,0,12,Nesting_Individu,Secure,-3.07194,126.566767
8,2017,8/25/2017,,,Nest,Secure,-3.069715,126.583772
8,2017,8/25/2017,,,False_Crawls,Non_Nesting,-3.071996,126.565941
9,2017,9/2/2017,,,Nest,Secure,-3.07115,126.571822
9,2017,9/2/2017,,,False_Crawls,Non_Nesting,-3.071963,126.562905
9,2017,9/2/2017,,,False_Crawls,Non_Nesting,-3.07142,126.570176
9,2017,9/2/2017,,,False_Crawls,Non_Nesting,-3.071588,126.56986
9,2017,9/3/2017,7,0,Nesting_Individu,Secure,-3.072001,126.565402
9,2017,9/10/2017,,,Nest,Secure,-3.072087,126.560542
9,2017,9/10/2017,,,Nest,Lost,-3.071938,126.564311
9,2017,9/15/2017,,,Nest,Secure,-3.071946,126.565948
9,2017,9/16/2017,,,False_Crawls,Non_Nesting,-3.071515,126.570532
9,2017,9/19/2017,,,Nest,Secure,-3.071922,126.563474
9,2017,9/19/2017,,,Nest,Secure,-3.071831,126.563751
9,2017,9/22/2017,21,45,Nesting_Individu,Lost,-3.071908,126.566081
9,2017,9/29/2017,,,Nest,Lost,-3.071998,126.564131
9,2017,9/30/2017,,,False_Crawls,Non_Nesting,-3.071695,126.570058
10,2017,10/2/2017,,,Nest,Lost,-3.071101,126.571968
10,2017,10/4/2017,,,Nest,Lost,-3.07247,126.543401
10,2017,10/6/2017,,,Nest,Lost,-3.071909,126.565462
